datetime_register_str;nome_sistema;tipo_registro;valor_venda;metodo_pag;etapa_erro;descricao_erro
2024-08-12 14:04:43;A123EE0;erro_outros;;;send_request_client_socket;<class 'ConnectionRefusedError'>;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 14:04:47;A123EE0;erro_outros;;;send_request_client_socket;<class 'ConnectionRefusedError'>;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 14:04:52;A123EE0;erro_outros;;;send_request_client_socket;<class 'ConnectionRefusedError'>;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 14:04:54;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 14:04:54;A123EE0;erro_outros;;;request_datetime_server;<class 'UnboundLocalError'>;cannot access local variable 'response' where it is not associated with a value
2024-08-12 14:21:11;A123EE0;erro_outros;;;send_request;<class 'ConnectionResetError'>;[WinError 10054] An existing connection was forcibly closed by the remote host
2024-08-12 14:21:13;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
2024-08-12 14:21:15;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
2024-08-12 14:21:17;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 14:24:56;A123EE0;erro_outros;;;send_request;<class 'ConnectionResetError'>;[WinError 10054] An existing connection was forcibly closed by the remote host
2024-08-12 14:24:58;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
2024-08-12 14:25:00;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
2024-08-12 14:25:02;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 14:27:12;A123EE0;erro_outros;;;send_request;<class 'ConnectionResetError'>;[WinError 10054] An existing connection was forcibly closed by the remote host
2024-08-12 14:27:14;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
2024-08-12 14:27:16;A123EE0;erro_outros;;;send_request_client_socket;<class 'OSError'>;[WinError 10038] An operation was attempted on something that is not a socket
